Id,Product_id,Link,Description,Result Date
"12. Actual hours worked at main job by industry, monthly, seasonally adjusted",Table: 14-10-0289-02,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028902,"Description: Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS). Data are presented for 12 months earlier, previous month and...Description: Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS). Data are presented for 12 months earlier, previous month and current month, as well as year-over-year and month-to-month level change and percentage change. Data are also available for the standard error of the estimate, the standard error of the month-to-month change and the standard error of the year-over-year change.More",2019-06-07
"13. Actual hours worked at main job by industry, monthly, seasonally adjusted, last 5 months",Table: 14-10-0289-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028901,"Description: Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS), last 5 months. Data are also available for the standard error of...Description: Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS), last 5 months. Data are also available for the standard error of the estimate, the standard error of the month-to-month change and the standard error of the year-over-year change.More",2019-06-07
"14. Actual hours worked by industry, annual",Table: 14-10-0037-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410003701,"Description: Number of employed persons by actual hours worked, class of worker, North American Industry Classification System (NAICS), and sex, last 5 years.",2019-01-04
"15. Actual hours worked by industry, monthly, unadjusted for seasonality",Table: 14-10-0036-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410003601,"Description: Number of employed persons by actual hours worked, class of worker, North American Industry Classification System (NAICS), and sex, last 5 months.",2019-06-07
16. Agriculture in Canada Archived,Table: 16-201-X201400014117,https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2014000-eng.htm,"Description: The 2014 article “Agriculture in Canada” gathers together a variety of statistics describing agriculture from the perspective of ecosystem goods and services.The article addresses...Description: The 2014 article “Agriculture in Canada” gathers together a variety of statistics describing agriculture from the perspective of ecosystem goods and services.The article addresses the ecological infrastructure supporting agricultural activity (Section 2), ecosystem goods and services from agriculture (Section 3), the main beneficiaries of these goods and services (Section 4) and the environmental impacts and management activities associated with agriculture (Section 5). Section 6 provides an example to illustrate how agricultural information can be integrated into a system of environmental accounts that follow international guidelines being developed by the Food and Agriculture Organization of the United Nations (FAO). Section 7 concludes with a short listing of areas requiring further research. More",2014-11-13
"17. Annual average number of hours worked, by NAICS industry",Table: 36-10-0489-03,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610048903,"Description: This table presents data for the current year and previous 4 years on labour statistics by job category, for Canada, the provinces and territories, annually, by total number of jobs.",2019-05-22
"18. Annual non-store retail survey, commodity sales",Table: 20-10-0069-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010006901,"Description: Sales for non-store retailers by commodities, for Canada, available on an annual basis, in dollars x 1,000.",2019-03-22
"19. Annual retail store survey, financial estimates by store type and trade group based on the North American Industry Classification System (NAICS), inactive Archived",Table: 20-10-0035-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010003501,"Description: This table contains 9702 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28.  This table contains...Description: This table contains 9702 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28.  This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada;Nova Scotia;Prince Edward Island;Newfoundland and Labrador ...), Trade group (21 items: Total; all trade groups;New car dealers;Used and recreational motor vehicle and parts dealers;Furniture stores ...), Financial estimates (11 items: Sales of goods for resale;Total revenue;Opening inventory;Total operating revenue ...), Type of store (3 items: Total all stores;Chain stores;Non-chain stores ...).More",2017-03-13
"20. Annual retail trade survey, financial estimates by type of store",Table: 20-10-0066-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010006601,"Description: Estimates of financial variables for store retailers, by type of store, for Canada, provinces and territories, available on an annual basis.",2019-03-22
"21. Annual retail trade survey, sales by method and type of store",Table: 20-10-0064-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010006401,"Description: Retail store sales by method and type of store, for Canada, in dollars x 1,000, available on an annual basis.",2019-03-22
"22. Annual survey of manufactures (ASM), principal statistics by North American Industry Classification System (NAICS), incorporated businesses with employees having sales of manufactured goods greater than or equal to $30,000 Archived",Table: 16-10-0054-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610005401,"Description: This table contains 140505 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 140505 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (17 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Principal statistics (15 items: Number of establishments; Production workers; Production workers hours paid; Production workers wages; ...); North American Industry Classification System (NAICS) (551 items: Manufacturing; Food manufacturing; Animal food manufacturing; Animal food manufacturing; ...).More",2017-09-18
"23. Annual survey of manufactures (ASM), sales of manufactured goods by North American Industry Classification System (NAICS) and industry sub-sector Archived",Table: 16-10-0056-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610005601,"Description: This table contains 870 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 870 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (17 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Sales of manufactured goods (3 items: Total sales of manufactured goods; Incorporated businesses with employees having sales of manufactured goods greater than or equal to $30,000;Other manufacturing business); North American Industry Classification System (NAICS) (22 items: Manufacturing ;Food manufacturing; Beverage and tobacco product manufacturing; Textile mills; ...).More",2008-05-13
"24. Annual wholesale trade survey, financial estimates",Table: 20-10-0077-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010007701,"Description: Annual wholesale trade survey, financial estimates by the North American Industry Classification System (NAICS) 41, which includes all members under Financial estimate, annual, in...Description: Annual wholesale trade survey, financial estimates by the North American Industry Classification System (NAICS) 41, which includes all members under Financial estimate, annual, in dollars unless otherwise indicated, Canada, provinces, and five years of data.More",2018-12-19
"25. Annual wholesale trade survey, financial estimates by the North American Industry Classification System (NAICS), inactive Archived",Table: 20-10-0075-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010007501,"Description: This table contains 5038 series, with data for years 2008 - 2012 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 5038 series, with data for years 2008 - 2012 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available):  Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...)  North American Industry Classification System (NAICS) (35 items: Wholesale trade; Farm product wholesaler-distributors; Petroleum product wholesaler-distributors; Food, beverage and tobacco wholesaler-distributors; ...)  Financial estimates (11 items: Sale of all goods purchased for resale; Commission revenue; Total operating revenue; Purchases of goods for resale; ...).More",2017-04-20
"26. Annual wholesale trade survey, financial estimates by trade group based on the North American Industry Classification System (NAICS), inactive Archived",Table: 20-10-0047-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010004701,"Description: This table contains 2772 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28. This table contains...Description: This table contains 2772 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28. This table contains data described by the following dimensions (Not all combinations are available): - Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia ...), Trade group (18 items: Total; all trade groups; Food products; Petroleum products; Farm products ...), Financial estimates (11 items: Commission revenue; Total operating revenue; Total revenue; Purchases of goods for resale ...).More",2017-04-20
"27. Applications related to biotechnology, by industry and enterprise size",Table: 27-10-0297-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2710029701,"Description: Survey of advanced technology, applications related to biotechnology, by North American Industry Classification System (NAICS) and enterprise size for Canada and certain provinces, in...Description: Survey of advanced technology, applications related to biotechnology, by North American Industry Classification System (NAICS) and enterprise size for Canada and certain provinces, in 2014.More",2016-02-12
"28. Area, production and farm value of potatoes, Mexico",Table: 32-10-0040-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210004001,"Description: Data on seeded and harvested areas, production, average price and total value of sales of potatoes in Canadian dollars. Geography: Mexico.",2018-12-13
"29. Average age measures of non-residential capital stock by industry, by asset, Canada, provinces and territories",Table: 34-10-0166-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410016601,"Description: This table contains 42560 series, with data for years 2009 - 2014 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 42560 series, with data for years 2009 - 2014 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Price (2 items: Original prices; Current prices); Age (2 items: Average age; Remaining useful service life ratio); Industry (20 items: Total all industries; Agriculture, forestry, fishing and hunting; Mining, quarrying and oil and gas extraction; Utilities; ...); Assets (38 items: Total non-residential; Building; Industrial buildings; Office buildings; ...).More",2019-01-18
"30. Average full-time hourly wage paid and payroll employment by type of work, industry and occupation",Table: 14-10-0103-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410010301,"Description: Average full-time hourly wage paid and payroll employment by type of work, North American Industry Classification System (NAICS) and National Occupational Classification (NOC), 2016...Description: Average full-time hourly wage paid and payroll employment by type of work, North American Industry Classification System (NAICS) and National Occupational Classification (NOC), 2016 and 2017.More",2018-06-26
"31. Average hourly earnings (including overtime) for salaried employees, by industry, annual",Table: 14-10-0210-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021001,"Description: Average hourly earnings (including overtime) for salaried employees, by North American Industry Classification System (NAICS), last 5 years.",2019-03-27
"32. Average hourly earnings (including overtime) for salaried employees, by industry, monthly, unadjusted for seasonality",Table: 14-10-0209-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020901,"Description: Average hourly earnings (including overtime) for salaried employees, by North American Industry Classification System (NAICS), last 5 months.",2019-05-30
"33. Average hourly earnings for employees paid by the hour (SEPH), for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0247-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024701,"Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Prince Edward Island; Nova Scotia; Newfoundland and Labrador ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",2013-09-27
"34. Average hourly earnings for employees paid by the hour (SEPH), unadjusted for seasonal variation, for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0246-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024601,"Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Newfoundland and Labrador; Nova Scotia; Prince Edward Island ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",2013-09-27
"35. Average hourly earnings for employees paid by the hour, by industry, annual",Table: 14-10-0206-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020601,"Description: Average hourly earnings for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 years.",2019-03-27
"36. Average hourly earnings for employees paid by the hour, by industry, monthly, unadjusted for seasonality",Table: 14-10-0205-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020501,"Description: Average hourly earnings for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 months.",2019-05-30
"37. Average hourly earnings for hourly-paid employees, including overtime (SEPH), seasonally adjusted, for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0240-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024001,"Description: This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), North American Industry Classification System (NAICS) (26 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",2017-03-13
"38. Average hourly earnings for salaried employees (paid a fixed salary) (SEPH), including overtime, for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0251-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025101,"Description: This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Prince Edward Island; Newfoundland and Labrador; Nova Scotia ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",2013-09-27
"39. Average hourly earnings for salaried employees (paid a fixed salary) (SEPH), including overtime, unadjusted for seasonal variation, for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0250-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025001,"Description: This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Prince Edward Island; Nova Scotia; Newfoundland and Labrador ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",2013-09-27
"40. Average weekly earnings (including overtime) for all employees by enterprise size, annual",Table: 14-10-0217-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021701,"Description: Average weekly earnings (including overtime) for all employees by enterprise size and North American Industry Classification System (NAICS), last 5 years.",2019-03-27
"41. Average weekly earnings (including overtime) for all employees by enterprise size, quarterly, unadjusted for seasonality",Table: 14-10-0216-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021601,"Description: Average weekly earnings (including overtime) for all employees by enterprise size and North American Industry Classification System (NAICS), last 5 quarters.",2019-03-27
"42. Average weekly earnings (SEPH), by type of employee for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0245-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024501,"Description: This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Nova Scotia; Canada; Newfoundland and Labrador; Prince Edward Island ...), Type of employees (3 items: All employees; Salaried employees paid a fixed salary; Employees paid by the hour ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (390 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",2013-09-27
"43. Average weekly earnings (SEPH), including overtime, seasonally adjusted, for all employees, by selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0256-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025601,"Description: This table contains 327 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 327 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Nova Scotia; Newfoundland and Labrador; Prince Edward Island; Canada ...), North American Industry Classification System (NAICS) (26 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",2017-03-13
"44. Average weekly earnings (SEPH), unadjusted for seasonal variation, by type of employee for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0244-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024401,"Description: This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Newfoundland and Labrador; Nova Scotia; Canada; Prince Edward Island ...), Type of employees (3 items: All employees; Salaried employees paid a fixed salary; Employees paid by the hour ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (390 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",2013-09-27
"45. Average weekly earnings by industry, annual",Table: 14-10-0204-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020401,"Description: Average weekly earnings by North American Industry Classification System (NAICS), type of employee and overtime status, last 5 years.",2019-03-27
"46. Average weekly earnings by industry, monthly, unadjusted for seasonality",Table: 14-10-0203-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020301,"Description: Average weekly earnings by North American Industry Classification System (NAICS), type of employee and overtime status, last 5 months.",2019-05-30
"47. Average weekly hours (including overtime) for employees paid by the hour, by enterprise size, annual",Table: 14-10-0219-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021901,"Description: Average weekly hours (including overtime) for employees paid by the hour, by enterprise size and North American Industry Classification System (NAICS), last 5 years.",2019-03-27
"48. Average weekly hours (including overtime) for employees paid by the hour, by enterprise size, quarterly, unadjusted for seasonality",Table: 14-10-0218-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021801,"Description: Average weekly hours (including overtime) for employees paid by the hour, by enterprise size and North American Industry Classification System (NAICS), last 5 quarters.",2019-03-27
"49. Average weekly hours for employees paid by the hour (SEPH), for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0249-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024901,"Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Nova Scotia; Prince Edward Island; Newfoundland and Labrador ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Forestry; logging and support; Industrial aggregate excluding unclassified businesses; Goods producing industries ...).More",2013-09-27
"50. Average weekly hours for employees paid by the hour (SEPH), unadjusted for seasonal variation, for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0248-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024801,"Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",2013-09-27
"51. Average weekly hours for employees paid by the hour, by industry, annual",Table: 14-10-0208-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020801,"Description: Average weekly hours for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 years.",2019-03-27
"52. Average weekly hours for employees paid by the hour, by industry, monthly, unadjusted for seasonality",Table: 14-10-0255-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025501,"Description: Average weekly hours for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 months.",2019-05-30
"53. Average weekly hours for hourly-paid employees, including overtime (SEPH), seasonally adjusted, for selected industries classified using the North American Industry Classification System (NAICS) Archived",Table: 14-10-0241-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024101,"Description: This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), North American Industry Classification System (NAICS) (26 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",2017-03-13
"54. Balance of international payments, current account, goods, annual",Table: 36-10-0020-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610002001,"Description: Canada's international trade in goods are available by category based on the North American Product Classification System (NAPCS). Annual data are also available by type of adjustment...Description: Canada's international trade in goods are available by category based on the North American Product Classification System (NAPCS). Annual data are also available by type of adjustment, and for 6 countries/regions.More",2019-05-30
