Type,Subject,Keywords,Release date,description,title,link
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Survey of Household Spending (SHS), average household spending by size of area of residence. ",Household spending by size of area of residence,/t1/tbl1/en/tv.action?pid=1110022601
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Survey of Household Spending (SHS), average household spending by age of reference person. ",Household spending by age of reference person,/t1/tbl1/en/tv.action?pid=1110022701
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Survey of Household Spending (SHS), average household spending, three territorial capitals. ","Household spending, three territorial capitals",/t1/tbl1/en/tv.action?pid=1110023301
Data,Retail and wholesale,Retail sales by type of store,2019-01-14,"This table contains 1979 series, with data for years 2012 - 2017 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); North American Product Classification System (NAPCS) Canada 2012 Version 1.1 (200 items: Total commodities, retail trade commissions and miscellaneous services; Retail Services (except commissions); Food at retail; Fresh food at retail; ...); North American Industry Classification System (NAICS) (12 items: Retail trade; Motor vehicle and parts dealers; Furniture and home furnishings stores; Electronics and appliance stores; ...). ","Retail commodity survey, retail sales",/t1/tbl1/en/tv.action?pid=1110023601
Data,International trade,Merchandise imports and exports,2012-10-18,"This table contains 592 series, with data for years 1971 - 2012 (not all combinations necessarily have data for all years), and was last released on 2012-10-18.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups and principal trading areas (149 items: Imports; total of all merchandise;Imports; Section 1 Live animals;Imports; Major group 2.1 Meat and meat preparations;Imports; Section 2 Food; feed; beverages and tobacco ...).","Merchandise imports and exports, by major groups and principal trading areas for all countries, monthly",/t1/tbl1/en/tv.action?pid=1210001301
Data,International trade,Merchandise imports and exports,2012-10-18,"This table contains 592 series, with data for years 1971 - 2012 (not all combinations necessarily have data for all years), and was last released on 2012-10-18.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups and principal trading areas (149 items: Imports; total of all merchandise;Imports; Section 1 Live animals;Imports; Section 2 Food; feed; beverages and tobacco;Imports; Major group 2.1 Meat and meat preparations ...).","Merchandise imports and exports, by major groups and principal trading areas for all countries, quarterly",/t1/tbl1/en/tv.action?pid=1210001401
Data,International trade,Merchandise imports and exports,2012-10-18,"This table contains 296 series, with data for years 1971 - 2011 (not all combinations necessarily have data for all years), and was last released on 2012-10-18.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Import and export major commodity groups and principal trading areas (149 items: Imports; total of all merchandise;Imports; Section 2 Food; feed; beverages and tobacco;Imports; Major group 2.1 Meat and meat preparations;Imports; Section 1 Live animals ...).","Merchandise imports and exports, by major groups and principal trading areas for all countries, annual",/t1/tbl1/en/tv.action?pid=1210001501
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2001-05-18,"This table contains 1632 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-05-18.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes;Meat and meat preparations; imports;Section I imports - live animals;Section II imports - food; feed; beverages and tobacco ...).","Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, monthly (1992)",/t1/tbl1/en/tv.action?pid=1210001601
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2001-05-18,"This table contains 1632 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-05-18.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes;Section I imports - live animals;Section II imports - food; feed; beverages and tobacco;Meat and meat preparations; imports ...).","Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, quarterly (1992)",/t1/tbl1/en/tv.action?pid=1210001701
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2001-02-21,"This table contains 816 series, with data for years 1992 - 2000 (not all combinations necessarily have data for all years), and was last released on 2001-02-21.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes;Section I imports - live animals;Meat and meat preparations; imports;Section II imports - food; feed; beverages and tobacco ...).","Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, annual (1992)",/t1/tbl1/en/tv.action?pid=1210001801
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2001-05-18,"This table contains 354 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-05-18.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 3) (155 items: Total; import commodity classes;Section I imports - live animals;Meat and meat preparations; imports;Section II imports - food; feed; beverages and tobacco ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 3) price indexes for all countries and United States, monthly (1992)",/t1/tbl1/en/tv.action?pid=1210001901
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2001-05-18,"This table contains 354 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-05-18.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 3) (155 items: Total; import commodity classes;Section II imports - food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports - live animals ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 3) price indexes for all countries and United States, quarterly (1992)",/t1/tbl1/en/tv.action?pid=1210002001
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2001-02-21,"This table contains 354 series, with data for years 1992 - 2000 (not all combinations necessarily have data for all years), and was last released on 2001-02-21.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 3) (155 items: Total; import commodity classes;Section I imports - live animals;Meat and meat preparations; imports;Section II imports - food; feed; beverages and tobacco ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 3) price indexes for all countries and United States, annual (1992)",/t1/tbl1/en/tv.action?pid=1210002101
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 1632 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Basis (2 items: Customs basis;Balance of payments basis ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...).","Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, monthly (1986)",/t1/tbl1/en/tv.action?pid=1210002201
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 1632 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Basis (2 items: Customs basis;Balance of payments basis ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...).","Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, quarterly (1986)",/t1/tbl1/en/tv.action?pid=1210002301
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 816 series, with data for years 1986 - 1996 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Basis (2 items: Customs basis;Balance of payments basis ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Meat and meat preparations; imports;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals ...).","Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, annual (1986)",/t1/tbl1/en/tv.action?pid=1210002401
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 822 series, with data for years 1971 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section I imports; live animals;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports ...).","Merchandise imports and exports balance of payments-based price and volume indexes for all countries, monthly (1981)",/t1/tbl1/en/tv.action?pid=1210002501
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 822 series, with data for years 1971 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Meat and meat preparations; imports;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals ...).","Merchandise imports and exports balance of payments-based price and volume indexes for all countries, quarterly (1981)",/t1/tbl1/en/tv.action?pid=1210002601
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 411 series, with data for years 1971 - 1989 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals;Meat and meat preparations; imports ...).","Merchandise imports and exports balance of payments-based price and volume indexes for all countries, annual (1981)",/t1/tbl1/en/tv.action?pid=1210002701
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 822 series, with data for years 1971 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...).","Merchandise imports and exports balance of payments-based price and volume indexes for all countries, monthly (1971)",/t1/tbl1/en/tv.action?pid=1210002801
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 822 series, with data for years 1971 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section I imports; live animals;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports ...).","Merchandise imports and exports balance of payments-based price and volume indexes for all countries, quarterly (1971)",/t1/tbl1/en/tv.action?pid=1210002901
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 411 series, with data for years 1971 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Meat and meat preparations; imports;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals ...).","Merchandise imports and exports balance of payments-based price and volume indexes for all countries, annual (1971)",/t1/tbl1/en/tv.action?pid=1210003001
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 342 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 2) (150 items: Total; import commodity classes;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 2) price indexes for all countries and United States, monthly (1986)",/t1/tbl1/en/tv.action?pid=1210003101
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 342 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 2) (150 items: Total; import commodity classes;Section I imports; live animals;Meat and meat preparations; imports;Section II imports; food; feed; beverages and tobacco ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 2) price indexes for all countries and United States, quarterly (1986)",/t1/tbl1/en/tv.action?pid=1210003201
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 342 series, with data for years 1986 - 1996 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 2) (150 items: Total; import commodity classes;Section I imports; live animals;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 2) price indexes for all countries and United States, annual (1986)",/t1/tbl1/en/tv.action?pid=1210003301
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 348 series, with data for years 1981 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 2) (155 items: Total; import commodity classes;Section I imports; live animals;Meat and meat preparations; imports;Section II imports; food; feed; beverages and tobacco ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 2) price indexes for all countries and United States, monthly (1981)",/t1/tbl1/en/tv.action?pid=1210003401
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 348 series, with data for years 1981 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 2) (155 items: Total; import commodity classes;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 2) price indexes for all countries and United States, quarterly (1981)",/t1/tbl1/en/tv.action?pid=1210003501
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 342 series, with data for years 1981 - 1989 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major groups and Standard International Trade Classification (SITC revision 2) (155 items: Total; import commodity classes;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals;Meat and meat preparations; imports ...).","Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 2) price indexes for all countries and United States, annual (1981)",/t1/tbl1/en/tv.action?pid=1210003601
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 680 series, with data for years 1968 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Import and export major groups and Standard International Trade Classification (SITC) (174 items: Total; import commodity classes;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals;Meat and meat preparations; imports ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...).","Merchandise imports and exports customs-based price indexes, by Standard International Trade Classification (SITC revision 1) price indexes and by Bank of Canada groupings, for all countries and United States, monthly",/t1/tbl1/en/tv.action?pid=1210003701
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 680 series, with data for years 1968 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Import and export major groups and Standard International Trade Classification (SITC) (174 items: Total; import commodity classes;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...).","Merchandise imports and exports customs-based price indexes, by Standard International Trade Classification (SITC revision 1) price indexes and by Bank of Canada groupings, for all countries and United States, quarterly",/t1/tbl1/en/tv.action?pid=1210003801
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 680 series, with data for years 1968 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Import and export major groups and Standard International Trade Classification (SITC) (174 items: Total; import commodity classes;Section I imports; live animals;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports ...), Trading area (2 items: All countries;United States ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...).","Merchandise imports and exports customs-based price indexes, by Standard International Trade Classification (SITC revision 1) price indexes and by Bank of Canada groupings, for all countries and United States, annual",/t1/tbl1/en/tv.action?pid=1210003901
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 24 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Type of commodity (6 items: Total; volume index;Live animals;Food; feed; beverages and tobacco;Crude materials; inedible ...), Imports and exports (2 items: Imports;Exports ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...).","Laspeyres fixed weighted imports and exports volume indexes, monthly",/t1/tbl1/en/tv.action?pid=1210004001
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 24 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Type of commodity (6 items: Total; volume index;Crude materials; inedible;Food; feed; beverages and tobacco;Live animals ...), Imports and exports (2 items: Imports;Exports ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...).","Laspeyres fixed weighted imports and exports volume indexes, quarterly",/t1/tbl1/en/tv.action?pid=1210004101
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 12 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years), and was last released on 2000-02-19.  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Type of commodity (6 items: Total; volume index;Live animals;Food; feed; beverages and tobacco;Crude materials; inedible ...), Imports and exports (2 items: Imports;Exports ...).","Laspeyres fixed weighted imports and exports volume indexes, annual",/t1/tbl1/en/tv.action?pid=1210004201
