Title,Description,Link,Ensemble Classification
Food Expenditure Survey (FOODEX) Public Use Microdata File Archived," This survey provides household estimates of food expenditures and quantities. Throughout the year members of selected households were asked to record expenditures on food and beverages...Description: This survey provides household estimates of food expenditures and quantities. Throughout the year members of selected households were asked to record expenditures on food and beverages for a period of two weeks. Topics include: household characteristics, food purchased from stores, food purchased from restaurants, food purchased locally and on day trips, food purchased while on trips overnight or longer, type of store and type of restaurant.More",https://www150.statcan.gc.ca/n1/en/catalogue/62M0002X,Consumption
Food Statistics Archived, This publication contains information on food available for consumption and food nutrition.,https://www150.statcan.gc.ca/n1/en/catalogue/21-020-X,Consumption
"Health behaviour in school-aged children 2002, Canadian student response to question: How many times a week do you usually eat or drink these items? Archived"," This table contains 672 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data...Description: This table contains 672 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 13 years; 15 years ...) Food and beverages (16 items: Fruits; Coke or other soft drinks that contain sugar; Chocolate or candy; Vegetables ...) Student response (7 items: Never; Once a week;2 to 4 days a week; Less than once a week ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310025001,Consumption
"Health behaviour in school-aged children 2002, other countries' student response to question: How many times a week do you usually eat or drink these items? Archived"," This table contains 1680 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains...Description: This table contains 1680 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (8 items: Belgium (French speaking) ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 13 years; 15 years ...) Food and beverages (5 items: Fruits; Chocolate or candy; Vegetables; Coke or other soft drinks that contain sugar ...) Student response (7 items: Never; Once a week; 2 to 4 days a week; Less than once a week ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310025101,Consumption
"Household actual final consumption, Canada, provincial and territorial, annual", Annual household actual final consumption including social transfers in kind from general government and social transfers in kind from non-profit institutions serving households.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610060901,Consumption
"Household final consumption expenditure, quarterly, Canada", Quarterly household final consumption expenditure components in chained (2012) and current dollars.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610010701,Consumption
Household spending by age of reference person," Survey of Household Spending (SHS), average household spending by age of reference person.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022701,Consumption
"Household spending by household income quintile, Canada, regions and provinces"," Survey of Household Spending (SHS), average household spending by household income quintile.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022301,Consumption
Household spending by household tenure," Survey of Household Spending (SHS), average household spending by household tenure.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022501,Consumption
Household spending by household type," Survey of Household Spending (SHS), average household spending by household type.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022401,Consumption
Household spending by size of area of residence," Survey of Household Spending (SHS), average household spending by size of area of residence.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022601,Consumption
"Household spending, Canada, regions and provinces"," Survey of Household Spending (SHS), average household spending, Canada, regions and provinces.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022201,Consumption
"Household spending, three territorial capitals"," Survey of Household Spending (SHS), average household spending, three territorial capitals.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110023301,Consumption
"Household spending, three territories and selected metropolitan areas"," Survey of Household Spending (SHS), average household spending, three territories and selected metropolitan areas.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110012601,Consumption
International Travel Survey Microdata File, Records relate to the activities of Canadians travelling outside the country and visitors to Canada: Canadian residents; travellers; non-residents; expenditures; length of stay; type...Description: Records relate to the activities of Canadians travelling outside the country and visitors to Canada: Canadian residents; travellers; non-residents; expenditures; length of stay; type of transportation; purpose of trip; accommodation used; places visited; expenditure by categories.International travel data are collected in two flows: Canadian returning from abroad; visitors from the USA and from other countries to Canada.More,https://www150.statcan.gc.ca/n1/en/catalogue/66M0001X,Consumption
Location of food preparation," Number and percentage of persons based on the location of food preparation, by age group and sex, for 2004 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047601,Consumption
"Nutrients in the food supply, by source of nutritional equivalent and commodity Archived"," This table contains 12354 series, with data for years 1976 - 2009 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 12354 series, with data for years 1976 - 2009 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Nutrients (29 items: Calcium;Carbohydrates;Cholesterol;Copper; ...); Source of nutritional equivalent (2 items: Nutrients available;Nutrients available adjusted for losses); Commodity (213 items: All commodities;Cereal products, total;Breakfast food;Corn flour and meal; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210033301,Consumption
Overview of the Time Use of Canadians Archived," This publication presents a series of tabulations produced from the General Social Survey on time use of Canadians. It includes information on average amounts of time spent on various...Description: This publication presents a series of tabulations produced from the General Social Survey on time use of Canadians. It includes information on average amounts of time spent on various activities by sex, by age, by selected role groups.More",https://www150.statcan.gc.ca/n1/en/catalogue/12F0080X,Consumption
Reported occasion of food consumption," Number and percentage of persons based on reported occasions of food consumption, by age group and sex, for 2004 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047501,Consumption
"Restaurant, Caterer and Tavern Statistics Archived"," This publication presents the monthly estimates of total receipts of restaurants, caterers and taverns both at the Canada and provincial levels. The estimates for restaurants are...Description: This publication presents the monthly estimates of total receipts of restaurants, caterers and taverns both at the Canada and provincial levels. The estimates for restaurants are broken down into five categories (full-service restaurants, limited-service restaurants, contract caterers, social and mobile caterers and taverns). Preliminary data along with revised data from the previous month and year-to-date estimates are accompanied by highlights or text.More",https://www150.statcan.gc.ca/n1/en/catalogue/63-011-X,Consumption
Spending Patterns in Canada Archived," This publication presents statistical highlights and key tables from the Survey of Household Spending (SHS). This annual survey collects information about expenditures by households...Description: This publication presents statistical highlights and key tables from the Survey of Household Spending (SHS). This annual survey collects information about expenditures by households and families in Canada on a wide variety of goods and services, as well as their dwelling characteristics and possession of household equipment such as appliances, audio and video equipment, and vehicles. The publication also includes analytical text, summary-level tables, a detailed table, notes and definitions, and information about survey methodology and data quality.More",https://www150.statcan.gc.ca/n1/en/catalogue/62-202-X,Consumption
Survey of Drinking Water Plants," The Survey of Drinking Water Plants is conducted to provide Canadians with national and regional information related to the production of drinking water. The survey is a census of...Description: The Survey of Drinking Water Plants is conducted to provide Canadians with national and regional information related to the production of drinking water. The survey is a census of drinking water plants serving 300 or more people, and asks for information on volumes of water drawn and treated, treatment type, financial aspects of the operation, as well as raw (source) water quality.More",https://www150.statcan.gc.ca/n1/en/catalogue/16-403-X,Consumption
"Survey of household spending (SHS), food expenditures, Canada, regions and provinces Archived"," This table contains 624 series, with data for years 2010 - 2010 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 624 series, with data for years 2010 - 2010 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Statistic (1 item: Average expenditure per household); Food expenditures, summary-level categories (48 items: Food expenditures; Food purchased from stores; Bakery products;Bread and unsweetened rolls and buns; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110021701,Consumption
"Survey of household spending (SHS), household spending on food, by province and territory Archived"," This table contains 448 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 448 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household spending, food (8 items: Total food; Food purchased from stores; Food purchased from stores locally or on day trips; Food purchased from stores while on trips overnight or longer; ...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110019801,Consumption
"Survey of household spending (SHS), household spending on furnishings and equipment, by province and territory Archived"," This table contains 2744 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years), and is no longer being released.     This table contains...Description: This table contains 2744 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years), and is no longer being released.     This table contains data described by the following dimensions (Not all combinations are available):  Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...)  Household spending, furnishings and equipment (49 items: Total household furnishings and equipment; Household furnishings; Furniture for indoor or outdoor use; Rugs, mats and underpadding; ...)  Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110020101,Consumption
"Survey of household spending (SHS), household spending on household operation, by province and territory Archived"," This table contains 1904 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 1904 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household spending, household operation (34 items: Total household operation; Communications; Telephone; Purchase of telephones and equipment; ...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting).    More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110020001,Consumption
"Survey of household spending (SHS), household spending, summary-level categories, by province, territory and selected metropolitan areas Archived"," This table contains 2356 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 2356 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (31 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household expenditure summary-level categories (19 items: Total expenditure; Total current consumption; Food; Shelter;...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110019701,Consumption
Survey of Household Spending: Public Use Microdata File Archived," The public use microdata file for the Survey of Household Spending provides detailed information on household expenditures, dwelling characteristics, and ownership of household...Description: The public use microdata file for the Survey of Household Spending provides detailed information on household expenditures, dwelling characteristics, and ownership of household equipment such as appliances, communications and entertainment equipment, and vehicles.More",https://www150.statcan.gc.ca/n1/en/catalogue/62M0004X,Consumption
"Total energy intake from foods, by dietary reference intake age-sex group, household population aged 1 and over, Canadian Community Health Survey (CCHS) - Nutrition, Canada and provinces"," Mean of percentage of total energy intake from foods, by dietary age-sex reference intake group, for 2015 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310077201,Consumption
"Survey of household spending (SHS), household spending, summary-level categories, by province, territory and selected metropolitan areas","This table contains 2356 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (31 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household expenditure summary-level categories (19 items: Total expenditure; Total current consumption; Food; Shelter;...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting). ",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110019701,Consumption
"Survey of household spending (SHS), household spending on food, by province and territory","This table contains 448 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household spending, food (8 items: Total food; Food purchased from stores; Food purchased from stores locally or on day trips; Food purchased from stores while on trips overnight or longer; ...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting). ",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110019801,Consumption
"Survey of household spending (SHS), food expenditures, Canada, regions and provinces","This table contains 624 series, with data for years 2010 - 2010 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Statistic (1 item: Average expenditure per household); Food expenditures, summary-level categories (48 items: Food expenditures; Food purchased from stores; Bakery products;Bread and unsweetened rolls and buns; ...). ",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110021701,Consumption
"Frequency of drinking in the past 12 months, by age group and sex, household population aged 12 and over who are current drinkers, Canada, provinces, territories, health regions (January 2000 boundaries) and peer groups","This table contains 334320 series, with data for years 2000 - 2000 (not all combinations necessarily have data for all years), and was last released on 2007-08-13.  This table contains data described by the following dimensions (Not all combinations are available): Geography (199 items: Canada; Newfoundland and Labrador; Health and Community Services St. John's Region; Newfoundland and Labrador (Peer group H);Health and Community Services Eastern Region; Newfoundland and Labrador (Peer group D) ...), Age group (14 items: Total; 12 years and over;15-19 years;12-19 years;12-14 years ...), Sex (3 items: Both sexes; Males; Females ...), Frequency of having 5 or more drinks on one occasion (5 items: Total population for the variable population reporting drinking; Never 5 or more drinks on one occasion;5 or more drinks on one occasion; 12 or more times a year;5 or more drinks on one occasion; less than 12 times a year ...), Characteristics (8 items: Number of persons; Coefficient of variation for number of persons; High 95% confidence interval - number of persons; Low 95% confidence interval -  number of persons ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310007101,Consumption
"Frequency of drinking in the past 12 months, by age group and sex, household population aged 12 and over who are current drinkers, Canada, provinces, territories, health regions (June 2005 boundaries) and peer groups ","This table contains 257040 series, with data for years 2005 - 2005 (not all combinations necessarily have data for all years), and was last released on 2010-05-10.  This table contains data described by the following dimensions (Not all combinations are available): Geography (160 items: Canada; Eastern Regional Integrated Health Authority; Newfoundland and Labrador; Central Regional Integrated Health Authority; Newfoundland and Labrador; Newfoundland and Labrador ...), Age group (14 items: Total; 12 years and over;12 to 14 years;15 to 19 years;12 to 19 years ...), Sex (3 items: Both sexes; Females; Males ...), Frequency of having 5 or more drinks on one occasion (5 items: Total population for the variable population reporting drinking; Never 5 or more drinks on one occasion;5 or more drinks on one occasion; 12 or more times a year;5 or more drinks on one occasion; less than 12 times a year ...), Characteristics (8 items: Number of persons; Coefficient of variation for number of persons; High 95% confidence interval; number of persons; Low 95% confidence interval; number of persons ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310008801,Consumption
"Fruit and vegetable consumption, 5 times or more per day, by age group","Number and percentage of persons eating fruits and vegetables five times or more per day, by age group and sex.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310009612,Consumption
Dietary habits of students in selected countries,"This table contains 10080 series, with data for years 1990 - 1998 (not all combinations necessarily have data for all years), and was last released on 2007-01-29.  This table contains data described by the following dimensions (Not all combinations are available): Geography (30 items: Austria; Belgium; Belgium (French speaking);Belgium (Flemish speaking) ...), Sex (2 items: Males; Females ...), Age group (3 items: 11 years;15 years;13 years ...), Activity (12 items: Eating fruit; Eating potato chips; crisps; Eating raw vegetables; Eating candy; chocolate bars ...), Frequency (5 items: More than once a day; Once a day; Seldom; At least once a week ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310019401,Consumption
"Health behaviour in school-aged children 2002, student response to question: How often do you usually have your meals?","This table contains 162 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 15 years; 13 years ...) Meals (3 items: Breakfast; Supper (evening meal); Lunch (midday meal) ...) Student response (9 items: Weekdays; never; Weekdays; 2 days; Weekdays; 3 days; Weekdays; 1 day ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310024901,Consumption
"Health behaviour in school-aged children 2002, Canadian student response to question: How many times a week do you usually eat or drink these items?","This table contains 672 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 13 years; 15 years ...) Food and beverages (16 items: Fruits; Coke or other soft drinks that contain sugar; Chocolate or candy; Vegetables ...) Student response (7 items: Never; Once a week;2 to 4 days a week; Less than once a week ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310025001,Consumption
"Health behaviour in school-aged children 2002, other countries' student response to question: How many times a week do you usually eat or drink these items?","This table contains 1680 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (8 items: Belgium (French speaking) ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 13 years; 15 years ...) Food and beverages (5 items: Fruits; Chocolate or candy; Vegetables; Coke or other soft drinks that contain sugar ...) Student response (7 items: Never; Once a week; 2 to 4 days a week; Less than once a week ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310025101,Consumption
"Vitamin and mineral supplements consumption in the past month, by age group","Number and percentage of persons who consumed vitamin and mineral supplements in the past month, by age group and sex, for 2004 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047401,Consumption
"Total energy intake from fat, by dietary age-sex reference intake group","Mean of percentage of total energy intake from fat, by dietary age-sex reference intake group, for 2004 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047701,Consumption
"Total energy intake from protein, by dietary age-sex reference intake group","Mean of percentage of total energy intake from protein, by dietary age-sex reference intake group, for 2004 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047801,Consumption
"Total energy intake from carbohydrates, by dietary age-sex reference intake group","Mean of percentage of total energy intake from carbohydrates, by dietary age-sex reference intake group, for 2004 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047901,Consumption
"Dietary practices, by age group and sex, household population aged 12 and over, Canada, provinces, territories, health regions (January 2000 boundaries) and peer groups","This table contains 401184 series, with data for years 2000 - 2000 (not all combinations necessarily have data for all years), and was last released on 2007-08-13. This table contains data described by the following dimensions (Not all combinations are available): Geography (199 items: Canada; Newfoundland and Labrador; Health and Community Services St. John's Region; Newfoundland and Labrador (Peer group H);Health and Community Services Eastern Region; Newfoundland and Labrador (Peer group D) ...) Age group (14 items: Total; 12 years and over; 12-19 years; 12-14 years; 15-19 years ...) Sex (3 items: Both sexes; Males; Females ...) Dietary practices (6 items: Total population for the variable dietary practices; Consume fruits and vegetables less than 5 times per day; Consume fruits and vegetables more than 10 times per day; Consume fruits and vegetables 5 to 10 times per day ...) - Characteristics (8 items: Number of persons; High 95% confidence interval - number of persons; Coefficient of variation for number of persons; Low 95% confidence interval -  number of persons ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310058101,Consumption
"Frequency of drinking in the past 12 months, by age group and sex, household population aged 12 and over who are current drinkers, Canada, provinces, territories, health regions (June 2003 boundaries) and peer groups ","This table contains 280560 series, with data for years 2003 - 2003 (not all combinations necessarily have data for all years), and was last released on 2007-08-13. This table contains data described by the following dimensions (Not all combinations are available): Geography (167 items: Health and Community Services Eastern Region; Newfoundland and Labrador; Canada; Health and Community Services St. John's Region; Newfoundland and Labrador; Newfoundland and Labrador ...) Age group (14 items: Total; 12 years and over; 12 to 14 years; 12 to 19 years; 15 to 19 years ...) Sex (3 items: Both sexes; Females; Males ...) Frequency of having 5 or more drinks on one occasion (5 items: Total population for the variable population reporting drinking; 5 or more drinks on one occasion; less than 12 times a year; Never 5 or more drinks on one occasion; 5 or more drinks on one occasion; 12 or more times a year ...) Characteristics (8 items: Number of persons; Coefficient of variation for number of persons; High 95% confidence interval; number of persons; Low 95% confidence interval; number of persons ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310061801,Consumption
"Dietary practices, by age group and sex, household population aged 12 and over, Canada, provinces, territories, health regions (June 2003 boundaries) and peer groups","This table contains 336672 series, with data for years 2003 - 2003 (not all combinations necessarily have data for all years), and was last released on 2007-08-13. This table contains data described by the following dimensions (Not all combinations are available): Geography (167 items: Canada; Newfoundland and Labrador; Health and Community Services St. John's Region; Newfoundland and Labrador; Health and Community Services Eastern Region; Newfoundland and Labrador ...) Age group (14 items: Total; 12 years and over; 15 to 19 years; 12 to 14 years; 12 to 19 years ...) Sex (3 items: Both sexes; Males; Females ...) Dietary practices (6 items: Total population for the variable dietary practices; Consume fruits and vegetables less than 5 times per day; Consume fruits and vegetables more than 10 times per day; Consume fruits and vegetables 5 to 10 times per day ...) Characteristics (8 items: Number of persons; Coefficient of variation for number of persons; High 95% confidence interval; number of persons; Low 95% confidence interval; number of persons ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310062401,Consumption
"Fruit and vegetable consumption, by age group and sex, household population aged 12 and over, Canada, provinces, territories and selected health regions (June 2005 boundaries)","This table contains 175392 series, with data for years 2005 - 2005 (not all combinations necessarily have data for all years), and was last released on 2010-05-10. This table contains data described by the following dimensions (Not all combinations are available): Geography (94 items: Canada; Newfoundland and Labrador ...) Age group (14 items: Total; 12 years and over; 15 to 19 years; 12 to 14 years; 12 to 19 years ...) Sex (3 items: Both sexes; Females; Males ...) Fruit and vegetable consumption (6 items: Total population for the variable fruit and vegetable consumption; Consume fruits and vegetables 5 to 10 times per day; Consume fruits and vegetables more than 10 times per day; Consume fruits and vegetables less than 5 times per day ...) Characteristics (8 items: Number of persons; High 95% confidence interval; number of persons; Low 95% confidence interval; number of persons; Coefficient of variation for number of persons ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310066001,Consumption
"Percentage of total energy intake from fat, by dietary reference intake age-sex group, household population aged 1 and over, Canadian Community Health Survey (CCHS) - Nutrition, Canada and provinces","Mean of percentage of total energy intake from fat, by dietary age-sex reference intake group, for 2004 and 2015. ",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310076901,Consumption
"Percentage of total energy intake from carbohydrates, by dietary reference intake age-sex group, household population aged 1 and over, Canadian Community Health Survey (CCHS) - Nutrition, Canada and provinces","Mean of percentage of total energy intake from carbohydrates, by dietary age-sex reference intake group, for 2004 and 2015. ",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310077001,Consumption
"Percentage of total energy intake from protein, by dietary reference intake age-sex group, household population aged 1 and over, Canadian Community Health Survey (CCHS) - Nutrition, Canada and provinces","Mean of percentage of total energy intake from protein, by dietary age-sex reference intake group, for 2004 and 2015. ",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310077101,Consumption
