Description,Link,Title
" This table contains 140505 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 140505 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (17 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Principal statistics (15 items: Number of establishments; Production workers; Production workers hours paid; Production workers wages; ...); North American Industry Classification System (NAICS) (551 items: Manufacturing; Food manufacturing; Animal food manufacturing; Animal food manufacturing; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610005401,"Annual survey of manufactures (ASM), principal statistics by North American Industry Classification System (NAICS), incorporated businesses with employees having sales of manufactured goods greater than or equal to $30,000 Archived"
" This table contains 870 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 870 series, with data for years 1990 - 2003 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (17 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Sales of manufactured goods (3 items: Total sales of manufactured goods; Incorporated businesses with employees having sales of manufactured goods greater than or equal to $30,000;Other manufacturing business); North American Industry Classification System (NAICS) (22 items: Manufacturing ;Food manufacturing; Beverage and tobacco product manufacturing; Textile mills; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610005601,"Annual survey of manufactures (ASM), sales of manufactured goods by North American Industry Classification System (NAICS) and industry sub-sector Archived"
" Annual wholesale trade survey, financial estimates by the North American Industry Classification System (NAICS) 41, which includes all members under Financial estimate, annual, in...Description: Annual wholesale trade survey, financial estimates by the North American Industry Classification System (NAICS) 41, which includes all members under Financial estimate, annual, in dollars unless otherwise indicated, Canada, provinces, and five years of data.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010007701,"Annual wholesale trade survey, financial estimates"
" This table contains 5038 series, with data for years 2008 - 2012 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 5038 series, with data for years 2008 - 2012 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available):  Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...)  North American Industry Classification System (NAICS) (35 items: Wholesale trade; Farm product wholesaler-distributors; Petroleum product wholesaler-distributors; Food, beverage and tobacco wholesaler-distributors; ...)  Financial estimates (11 items: Sale of all goods purchased for resale; Commission revenue; Total operating revenue; Purchases of goods for resale; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010007501,"Annual wholesale trade survey, financial estimates by the North American Industry Classification System (NAICS), inactive Archived"
" This table contains 2772 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28. This table contains...Description: This table contains 2772 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28. This table contains data described by the following dimensions (Not all combinations are available): - Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia ...), Trade group (18 items: Total; all trade groups; Food products; Petroleum products; Farm products ...), Financial estimates (11 items: Commission revenue; Total operating revenue; Total revenue; Purchases of goods for resale ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010004701,"Annual wholesale trade survey, financial estimates by trade group based on the North American Industry Classification System (NAICS), inactive Archived"
" Survey of advanced technology, applications related to biotechnology, by North American Industry Classification System (NAICS) and enterprise size for Canada and certain provinces, in...Description: Survey of advanced technology, applications related to biotechnology, by North American Industry Classification System (NAICS) and enterprise size for Canada and certain provinces, in 2014.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2710029701,"Applications related to biotechnology, by industry and enterprise size"
" This table contains 42560 series, with data for years 2009 - 2014 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 42560 series, with data for years 2009 - 2014 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Price (2 items: Original prices; Current prices); Age (2 items: Average age; Remaining useful service life ratio); Industry (20 items: Total all industries; Agriculture, forestry, fishing and hunting; Mining, quarrying and oil and gas extraction; Utilities; ...); Assets (38 items: Total non-residential; Building; Industrial buildings; Office buildings; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410016601,"Average age measures of non-residential capital stock by industry, by asset, Canada, provinces and territories"
" Average full-time hourly wage paid and payroll employment by type of work, North American Industry Classification System (NAICS) and National Occupational Classification (NOC), 2016...Description: Average full-time hourly wage paid and payroll employment by type of work, North American Industry Classification System (NAICS) and National Occupational Classification (NOC), 2016 and 2017.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410010301,"Average full-time hourly wage paid and payroll employment by type of work, industry and occupation"
" Average hourly earnings (including overtime) for salaried employees, by North American Industry Classification System (NAICS), last 5 years.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021001,"Average hourly earnings (including overtime) for salaried employees, by industry, annual"
" Average hourly earnings (including overtime) for salaried employees, by North American Industry Classification System (NAICS), last 5 months.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020901,"Average hourly earnings (including overtime) for salaried employees, by industry, monthly, unadjusted for seasonality"
" This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Prince Edward Island; Nova Scotia; Newfoundland and Labrador ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024701,"Average hourly earnings for employees paid by the hour (SEPH), for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Newfoundland and Labrador; Nova Scotia; Prince Edward Island ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024601,"Average hourly earnings for employees paid by the hour (SEPH), unadjusted for seasonal variation, for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" Average hourly earnings for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 years.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020601,"Average hourly earnings for employees paid by the hour, by industry, annual"
" Average hourly earnings for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 months.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020501,"Average hourly earnings for employees paid by the hour, by industry, monthly, unadjusted for seasonality"
" This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), North American Industry Classification System (NAICS) (26 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024001,"Average hourly earnings for hourly-paid employees, including overtime (SEPH), seasonally adjusted, for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Prince Edward Island; Newfoundland and Labrador; Nova Scotia ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025101,"Average hourly earnings for salaried employees (paid a fixed salary) (SEPH), including overtime, for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 2144 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Prince Edward Island; Nova Scotia; Newfoundland and Labrador ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025001,"Average hourly earnings for salaried employees (paid a fixed salary) (SEPH), including overtime, unadjusted for seasonal variation, for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" Average weekly earnings (including overtime) for all employees by enterprise size and North American Industry Classification System (NAICS), last 5 years.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021701,"Average weekly earnings (including overtime) for all employees by enterprise size, annual"
" Average weekly earnings (including overtime) for all employees by enterprise size and North American Industry Classification System (NAICS), last 5 quarters.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021601,"Average weekly earnings (including overtime) for all employees by enterprise size, quarterly, unadjusted for seasonality"
" This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Nova Scotia; Canada; Newfoundland and Labrador; Prince Edward Island ...), Type of employees (3 items: All employees; Salaried employees paid a fixed salary; Employees paid by the hour ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (390 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024501,"Average weekly earnings (SEPH), by type of employee for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" This table contains 327 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 327 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Nova Scotia; Newfoundland and Labrador; Prince Edward Island; Canada ...), North American Industry Classification System (NAICS) (26 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025601,"Average weekly earnings (SEPH), including overtime, seasonally adjusted, for all employees, by selected industries classified using the North American Industry Classification System (NAICS) Archived"
" This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 14224 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Newfoundland and Labrador; Nova Scotia; Canada; Prince Edward Island ...), Type of employees (3 items: All employees; Salaried employees paid a fixed salary; Employees paid by the hour ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (390 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024401,"Average weekly earnings (SEPH), unadjusted for seasonal variation, by type of employee for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" Average weekly earnings by North American Industry Classification System (NAICS), type of employee and overtime status, last 5 years.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020401,"Average weekly earnings by industry, annual"
" Average weekly earnings by North American Industry Classification System (NAICS), type of employee and overtime status, last 5 months.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020301,"Average weekly earnings by industry, monthly, unadjusted for seasonality"
" Average weekly hours (including overtime) for employees paid by the hour, by enterprise size and North American Industry Classification System (NAICS), last 5 years.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021901,"Average weekly hours (including overtime) for employees paid by the hour, by enterprise size, annual"
" Average weekly hours (including overtime) for employees paid by the hour, by enterprise size and North American Industry Classification System (NAICS), last 5 quarters.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021801,"Average weekly hours (including overtime) for employees paid by the hour, by enterprise size, quarterly, unadjusted for seasonality"
" This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Nova Scotia; Prince Edward Island; Newfoundland and Labrador ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Forestry; logging and support; Industrial aggregate excluding unclassified businesses; Goods producing industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024901,"Average weekly hours for employees paid by the hour (SEPH), for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4288 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia ...), Overtime (2 items: Including overtime; Excluding overtime ...), North American Industry Classification System (NAICS) (366 items: Industrial aggregate excluding unclassified businesses; Goods producing industries; Forestry; logging and support ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024801,"Average weekly hours for employees paid by the hour (SEPH), unadjusted for seasonal variation, for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" Average weekly hours for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 years.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410020801,"Average weekly hours for employees paid by the hour, by industry, annual"
" Average weekly hours for employees paid by the hour, by North American Industry Classification System (NAICS) and overtime status, last 5 months.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410025501,"Average weekly hours for employees paid by the hour, by industry, monthly, unadjusted for seasonality"
" This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 26 series, with data for years 1991 - 2000 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), North American Industry Classification System (NAICS) (26 items: Industrial aggregate excluding unclassified businesses; Forestry; logging and support; Goods producing industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410024101,"Average weekly hours for hourly-paid employees, including overtime (SEPH), seasonally adjusted, for selected industries classified using the North American Industry Classification System (NAICS) Archived"
" Canada's international trade in goods are available by category based on the North American Product Classification System (NAPCS). Annual data are also available by type of adjustment...Description: Canada's international trade in goods are available by category based on the North American Product Classification System (NAPCS). Annual data are also available by type of adjustment, and for 6 countries/regions.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610002001,"Balance of international payments, current account, goods, annual"
 Canada's international trade in goods are available by category based on the North American Product Classification System (NAPCS). Data are also available for 6 countries/regions....Description: Canada's international trade in goods are available by category based on the North American Product Classification System (NAPCS). Data are also available for 6 countries/regions. Quarterly data are presented with and without seasonal adjustments.More,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610001901,"Balance of international payments, current account, goods, quarterly"
" Electronic commerce and technology, reasons why internet users/non-users do not use electronic commerce, by type of internet users and North American Industry Classification System...Description: Electronic commerce and technology, reasons why internet users/non-users do not use electronic commerce, by type of internet users and North American Industry Classification System (NAICS), for Canada from 2000 to 2006. (Terminated)More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2210004601,"Barriers to electronic commerce, by industry Archived"
" Survey of digital technology and Internet use by barriers to further integrating Information and Communication Technologies (ICTs), North American Industry Classification System (NAICS)...Description: Survey of digital technology and Internet use by barriers to further integrating Information and Communication Technologies (ICTs), North American Industry Classification System (NAICS) and size of enterprise for Canada in 2013.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2210003001,Barriers to further integrating Information and Communication Technologies (ICTs) by industry and size of enterprise
" Digital technology and internet use, barriers to Internet use, by North American Industry Classification System (NAICS) and size of enterprise for Canada from 2012 to 2013.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2210001401,Barriers to Internet use by industry
" Basket weights of major components, gasoline, and selected special aggregates of the Consumer Price Index (CPI) basket, for Canada, provinces, Whitehorse, Yellowknife and Iqaluit, last...Description: Basket weights of major components, gasoline, and selected special aggregates of the Consumer Price Index (CPI) basket, for Canada, provinces, Whitehorse, Yellowknife and Iqaluit, last 5 years of the CPI basket. Includes price period of the weights as either weights at basket link month prices or weights at basket reference period prices. Weights are shown in percentage terms.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000701,"Basket weights of the Consumer Price Index, Canada, provinces, Whitehorse, Yellowknife and Iqaluit"
" This table contains 7 series, with data for years 1946 - 1989 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 7 series, with data for years 1946 - 1989 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Standard Classification of Goods (SCG) (7 items: Biscuits, soda; Biscuits, plain and fancy; Chewing gum; Cocoa powder; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610009301,"Biscuits and cones production, quarterly Archived"
" This table contains 2 series, with data for years 1990 - 1994 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 2 series, with data for years 1990 - 1994 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Standard Classification of Goods (SCG) (2 items: Biscuits, soda; Biscuits, plain and fancy).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610009801,"Biscuits and cones production, semi-annual Archived"
